Name of State / UT,Total Confirmed cases
Union Territory of Ladakh,10
Union Territory of Jammu and Kashmir,4
Union Territory of Chandigarh,1
Kerala,396
Delhi,1707
Telengana,766
Rajasthan,1229
Haryana,225
Uttar Pradesh,849
Tamil Nadu,1323
Karnataka,359
Maharashtra,3323
Punjab,202
Andhra Pradesh,572
Uttarakhand,40
Odisha,60
Puducherry,7
West Bengal,287
Chhattisgarh,36
Gujarat,1099
Chandigarh,21
Himachal Pradesh,36
Jammu and Kashmir,328
Ladakh,18
Madhya Pradesh,1310
Bihar,83
Manipur,2
Mizoram,1
Andaman and Nicobar Islands,12
Goa,7
Assam,35
Jharkhand,33
Arunachal Pradesh,1
Tripura,2
Meghalaya,9
Nagaland,0
